Date: 29.8769835556 | Trip: 909 | Vehicle ID: 450 | Total Distance: 1.717 km | Total Time: 572.300 secs | Total Idling Time: 386.800 secs | Total Fuel Consumed: 0.104 L | Total CO2 Emissions: 126.746 g
Date: 31.92566325 | Trip: 918 | Vehicle ID: 450 | Total Distance: 8.324 km | Total Time: 1182.000 secs | Total Idling Time: 338.200 secs | Total Fuel Consumed: 0.373 L | Total CO2 Emissions: 436.856 g
Date: 32.7901053611 | Trip: 926 | Vehicle ID: 450 | Total Distance: 1.687 km | Total Time: 239.500 secs | Total Idling Time: 82.900 secs | Total Fuel Consumed: 0.103 L | Total CO2 Emissions: 137.414 g
Date: 33.6416893333 | Trip: 930 | Vehicle ID: 450 | Total Distance: 15.330 km | Total Time: 1608.200 secs | Total Idling Time: 193.100 secs | Total Fuel Consumed: 0.770 L | Total CO2 Emissions: 1017.490 g
Date: 33.7693048426 | Trip: 931 | Vehicle ID: 450 | Total Distance: 5.932 km | Total Time: 566.400 secs | Total Idling Time: 80.300 secs | Total Fuel Consumed: 0.292 L | Total CO2 Emissions: 367.095 g
Date: 34.6543722037 | Trip: 937 | Vehicle ID: 450 | Total Distance: 10.448 km | Total Time: 979.400 secs | Total Idling Time: 203.700 secs | Total Fuel Consumed: 0.486 L | Total CO2 Emissions: 581.550 g
Date: 35.9632879537 | Trip: 946 | Vehicle ID: 450 | Total Distance: 1.192 km | Total Time: 84.000 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.051 L | Total CO2 Emissions: 65.656 g
Date: 36.6957958333 | Trip: 947 | Vehicle ID: 450 | Total Distance: 9.859 km | Total Time: 1049.600 secs | Total Idling Time: 215.300 secs | Total Fuel Consumed: 0.473 L | Total CO2 Emissions: 587.210 g
Date: 36.8769817037 | Trip: 948 | Vehicle ID: 450 | Total Distance: 1.732 km | Total Time: 188.700 secs | Total Idling Time: 25.700 secs | Total Fuel Consumed: 0.090 L | Total CO2 Emissions: 122.803 g
Date: 36.9652924537 | Trip: 949 | Vehicle ID: 450 | Total Distance: 8.541 km | Total Time: 975.400 secs | Total Idling Time: 50.700 secs | Total Fuel Consumed: 0.316 L | Total CO2 Emissions: 389.812 g
Date: 37.6603465093 | Trip: 950 | Vehicle ID: 450 | Total Distance: 1.743 km | Total Time: 145.600 secs | Total Idling Time: 13.100 secs | Total Fuel Consumed: 0.069 L | Total CO2 Emissions: 83.546 g
Date: 37.8520358426 | Trip: 951 | Vehicle ID: 450 | Total Distance: 1.814 km | Total Time: 222.300 secs | Total Idling Time: 31.500 secs | Total Fuel Consumed: 0.121 L | Total CO2 Emissions: 166.064 g
Date: 37.9458974537 | Trip: 952 | Vehicle ID: 450 | Total Distance: 8.715 km | Total Time: 1001.200 secs | Total Idling Time: 124.400 secs | Total Fuel Consumed: 0.373 L | Total CO2 Emissions: 422.769 g
