DayNum,Trip,VehId,Total Distance(km),Total Time(secs),Total Idling Time(secs), Total Fuel Consumed(L),Total CO2 Emissions(g)
108.622901991,1211,450,15.268,1717.600,467.800,0.743,872.326
108.75466,1212,450,7.682,827.400,197.500,0.397,445.068
108.895904685,1214,450,1.765,155.600,17.000,0.077,97.103
108.910185537,1215,450,103.264,3565.800,33.800,8.837,953.503
109.007487509,1217,450,3.359,261.400,0.000,0.124,158.577
109.016446704,1218,450,3.879,245.500,0.000,0.178,182.020
110.096397343,1222,450,3.887,264.600,0.000,0.177,194.318
110.950104111,1224,450,1.856,206.300,94.300,0.128,121.422
111.782408213,1228,450,4.032,353.800,37.900,0.160,176.861
115.833813176,1240,450,1.064,199.800,73.800,0.067,72.163
115.870647741,1241,450,9.369,889.100,76.100,0.449,551.337
116.612159667,1242,450,15.157,1472.800,232.400,0.755,875.209
118.632116111,1249,450,6.790,544.700,131.400,0.383,437.738
119.600701685,1259,450,13.006,633.800,63.700,0.731,861.189
120.602501324,1263,450,13.732,1306.700,202.600,0.691,841.435
120.899592963,1265,450,6.393,657.800,57.200,0.232,297.222
122.707236333,1274,450,1.177,78.800,0.000,0.058,70.904
122.857460759,1276,450,4.593,498.800,111.400,0.232,282.090
123.601523407,1279,450,17.325,1971.000,414.000,0.940,1101.094
123.80131737,1280,450,1.764,363.300,66.400,0.100,114.146
124.904298241,1284,450,9.410,871.600,114.900,0.458,509.894
131.83491125,1296,450,1.775,258.100,103.700,0.144,165.399
136.003731722,1313,450,1.885,117.900,8.200,0.089,101.710
136.834464583,1316,450,1.165,180.000,58.100,0.068,67.476
136.990958259,1318,450,3.005,228.200,0.000,0.180,220.274
137.602540806,1319,450,15.160,1594.200,405.500,0.761,899.220
137.92829587,1324,450,10.640,958.400,67.900,0.471,588.341
139.97632887,1329,450,3.004,249.900,23.100,0.155,187.603
140.918674324,1336,450,3.381,244.800,0.000,0.184,227.011
140.958590759,1337,450,3.918,241.700,0.000,0.196,228.783
141.907049694,1340,450,7.108,718.500,122.800,0.313,403.515
142.0189465,1341,450,6.969,591.300,71.400,0.334,408.564
142.793350037,1343,450,1.050,128.700,11.100,0.048,63.747
144.639343843,1347,450,2.009,173.200,37.000,0.080,103.521
146.835958741,1355,450,1.480,226.400,118.200,0.067,122.516
146.880449296,1358,450,1.175,79.300,0.000,0.051,93.788
147.539428037,1359,450,2.516,195.900,28.100,0.075,127.906
147.852293981,1362,450,1.174,72.300,0.000,0.053,78.564
150.72804538,1365,450,11.248,469.700,0.000,0.594,1055.590
150.765006028,1366,450,12.900,903.200,69.500,0.647,1178.850
150.963457491,1367,450,12.605,886.800,57.900,0.517,832.219
151.750418287,1370,450,6.640,1062.700,502.600,0.361,609.175
22.5012844259,1366,5,1.618,80.200,0.000,0.094,104.472
22.5609811852,1368,5,7.911,764.000,108.300,0.396,454.921
22.9010505741,1369,5,5.665,733.800,233.800,0.225,255.058
36.4965188704,1443,5,1.596,89.200,0.000,0.068,72.948
36.8937491389,1445,5,5.855,647.200,102.400,0.254,297.435
1.58665119444,706,8,2.057,134.300,0.000,0.099,84.471
1.93178628704,707,8,2.904,239.500,36.100,0.204,197.018
8.56016175925,730,8,4.585,387.800,44.600,0.284,325.612
29.5723856389,805,8,4.676,398.800,69.500,0.284,344.912
43.9277080185,854,8,3.974,619.200,185.200,0.292,345.088
43.946717963,855,8,4.216,840.900,75.000,0.348,396.232
1.50398989815,107,220,7.868,709.900,149.000,0.331,311.446
6.46485907408,123,220,10.285,725.900,41.400,0.406,454.348
7.68075310185,131,220,8.094,1035.600,266.400,0.279,324.242
11.4946496204,151,220,2.687,270.100,9.000,0.149,168.548
11.5073400556,152,220,3.920,315.400,13.100,0.116,133.249
12.0560993889,156,220,11.141,988.100,214.300,0.438,528.593
15.8270950741,172,220,9.985,977.000,215.300,0.395,499.912
16.0771482407,176,220,7.943,733.600,57.000,0.251,292.604
16.5358126852,178,220,10.070,643.000,2.500,0.728,242.994
16.5634176944,179,220,8.904,730.900,0.000,0.457,346.119
17.5313414907,185,220,11.296,1306.900,393.900,0.420,496.028
19.537083463,191,220,7.700,405.700,35.100,0.337,379.246
21.4476177963,200,220,7.876,663.000,0.000,0.305,322.232
21.6762209537,202,220,12.747,1245.000,253.000,0.517,559.069
22.5021227963,204,220,7.938,1046.900,255.400,0.391,431.775
25.5022604352,223,220,6.622,587.700,0.000,0.292,334.263
26.5042978982,228,220,5.997,600.000,106.100,0.285,369.592
26.9133053333,232,220,7.918,656.000,31.400,0.351,427.298
27.588710463,235,220,3.984,279.600,0.000,0.149,157.218
29.6700672037,240,220,8.564,848.000,133.800,0.338,381.086
30.7710413148,246,220,7.905,796.000,118.700,0.248,302.471
32.5045600741,254,220,1.726,187.500,0.000,0.086,87.776
36.7647675463,270,220,12.041,1130.100,290.000,0.457,530.492
37.6237752222,277,220,6.329,515.700,34.800,0.292,347.807
53.4046099352,300,220,8.517,807.900,25.900,0.288,323.934
56.6520046482,315,220,2.629,167.400,0.000,0.126,136.147
58.5550011018,324,220,6.574,598.700,27.400,0.369,381.934
62.5934080648,349,220,6.581,645.000,81.900,0.347,355.372
63.6598222222,356,220,9.384,972.300,250.900,0.469,509.321
64.736678537,357,220,6.357,591.600,47.900,0.345,417.661
65.4905952222,361,220,2.159,191.700,27.800,0.125,144.831
69.5511462222,375,220,6.565,554.600,28.200,0.344,353.589
77.6319763704,418,220,6.179,590.500,102.100,0.329,369.393
78.6287406667,421,220,7.915,747.000,30.900,0.410,470.195
79.3783006852,424,220,4.611,372.200,0.000,0.183,171.925
79.4853671389,426,220,2.179,183.800,16.200,0.107,134.653
79.5690614352,429,220,2.352,223.700,5.100,0.180,195.653
79.6327465093,431,220,12.759,1214.100,219.500,0.526,588.337
80.4565034537,433,220,7.703,867.900,112.100,0.423,466.200
85.5397580833,459,220,8.227,874.200,80.200,0.371,429.824
85.59891075,460,220,7.943,762.200,68.200,0.284,333.899
86.5448759167,466,220,6.288,609.000,58.300,0.287,322.016
88.409123787,475,220,3.342,294.800,8.000,0.095,103.912
90.4542458519,479,220,5.385,487.400,121.300,0.155,160.153
90.5430768519,480,220,5.398,368.700,10.300,0.239,260.313
93.6215392407,495,220,10.438,858.200,53.900,0.453,530.516
97.4588841296,515,220,4.260,428.300,60.700,0.146,151.748
100.374391389,528,220,4.628,442.600,35.600,0.215,236.086
101.533043833,537,220,7.979,1238.100,292.900,0.425,469.999
102.370462481,541,220,0.940,99.200,0.000,0.054,60.412
103.600216898,556,220,1.655,195.900,20.900,0.092,99.095
106.452052046,568,220,5.857,641.500,35.200,0.307,351.594
108.508764565,582,220,2.859,379.500,35.100,0.188,222.303
109.418103083,585,220,4.472,372.200,21.500,0.160,191.582
110.571765944,595,220,8.986,777.400,14.600,0.311,348.608
114.777630306,604,220,1.285,72.400,0.000,0.075,96.043
116.36808563,609,220,3.762,366.900,6.500,0.169,199.701
116.414429269,610,220,5.396,426.300,0.000,0.212,249.777
119.487656676,618,220,3.965,305.300,0.000,0.137,136.134
120.568443713,626,220,9.216,940.900,256.000,0.350,390.438
121.432567111,627,220,6.330,587.200,51.100,0.302,353.007
123.384499083,637,220,7.924,741.100,0.000,0.267,277.190
124.458026454,643,220,4.965,491.900,69.600,0.243,260.596
129.454545815,661,220,5.881,690.100,146.300,0.288,317.830
129.48546737,662,220,8.527,811.700,82.500,0.375,424.181
130.749658231,668,220,7.936,726.000,95.700,0.362,422.552
131.871786611,674,220,8.530,1104.600,314.100,0.365,449.059
135.368415454,680,220,5.836,524.400,11.200,0.224,240.084
135.485744565,681,220,1.799,163.600,27.500,0.087,99.945
142.367952324,705,220,5.996,561.700,42.000,0.200,202.770
143.445742685,712,220,4.172,409.900,59.900,0.185,211.675
143.482118824,713,220,8.134,897.600,134.200,0.354,412.763
146.658350324,723,220,2.619,264.000,84.500,0.095,106.811
148.510261333,732,220,9.409,990.500,179.400,0.435,511.561
149.491795343,736,220,6.530,502.000,42.800,0.259,277.681
149.542287093,737,220,7.773,538.100,14.300,0.313,329.192
149.653599556,739,220,7.945,873.500,195.200,0.294,321.082
151.424340991,748,220,2.128,149.400,0.000,0.105,121.854
153.3800395,755,220,5.977,595.900,58.700,0.213,230.976
3.98880686111,529,399,6.467,723.700,113.700,0.247,252.450
4.07239506482,530,399,6.637,813.800,111.200,0.278,251.441
10.6306363704,560,399,5.504,558.500,128.600,0.202,187.886
16.8282445093,583,399,3.641,188.300,0.000,0.180,218.003
17.9067770093,587,399,10.346,1153.100,227.600,0.461,528.276
31.8312095463,620,399,5.361,600.200,91.700,0.234,291.173
32.0104812407,622,399,2.810,386.800,66.500,0.082,88.433
43.8273775741,656,399,2.464,304.500,114.300,0.103,121.373
50.847115537,687,399,5.708,431.100,0.000,0.238,274.794
60.7682069722,734,399,0.612,73.200,0.000,0.038,42.532
72.5782660926,756,399,5.515,617.300,143.600,0.275,313.693
72.7809559815,760,399,10.992,457.600,12.500,0.532,583.396
79.617401713,784,399,3.122,262.400,15.200,0.153,154.439
80.7891717037,793,399,5.756,486.400,51.400,0.198,241.166
83.8253303241,812,399,4.382,381.200,6.600,0.207,246.526
83.8847508056,813,399,1.565,112.100,0.000,0.060,77.685
84.9116423981,816,399,9.147,779.000,40.300,0.335,392.833
88.0323854167,830,399,6.751,719.700,90.100,0.364,416.467
102.880043963,840,399,7.572,858.800,196.000,0.344,392.414
109.080509278,855,399,8.317,799.900,67.600,0.346,410.354
120.060092352,878,399,4.914,573.800,147.200,0.234,261.440
120.839490481,883,399,7.937,824.500,186.000,0.322,385.966
125.820534722,902,399,5.467,541.200,40.000,0.184,221.062
126.921006944,907,399,4.091,535.400,80.000,0.141,176.112
128.78000362,915,399,5.736,814.000,308.500,0.226,252.293
131.726337065,930,399,2.561,244.200,47.500,0.105,129.853
133.711241713,935,399,1.013,106.500,0.000,0.048,59.150
135.654725806,941,399,3.875,279.200,22.000,0.160,178.778
136.588888648,944,399,3.037,470.300,166.800,0.171,211.269
138.033811454,955,399,2.402,138.900,0.000,0.078,82.925
139.869325694,962,399,3.003,226.900,53.600,0.133,162.944
139.929520796,963,399,4.330,375.400,50.200,0.196,229.533
142.879021917,975,399,9.355,891.800,102.800,0.409,481.899
143.984088861,980,399,4.520,433.800,43.200,0.206,246.853
144.804272852,984,399,2.788,217.100,2.900,0.112,142.607
147.822975287,1002,399,1.718,124.200,0.000,0.043,51.729
1.62956727778,825,299,1.558,123.200,5.700,0.120,114.965
3.6224647963,828,299,1.866,149.400,26.100,0.144,155.590
3.89734402778,833,299,2.031,137.700,1.800,0.164,182.627
3.90390602778,834,299,3.237,363.200,54.800,0.243,231.710
8.6607057037,851,299,4.317,223.600,0.000,0.344,311.271
10.7017651389,859,299,2.337,134.500,0.000,0.186,224.599
12.721009537,866,299,22.613,1399.000,256.500,1.883,2110.228
15.5624954074,882,299,3.132,527.000,105.900,0.326,414.119
15.6636330833,884,299,4.344,277.400,39.400,0.358,420.812
17.7067220556,890,299,2.381,157.300,0.000,0.191,199.912
21.0094928333,905,299,4.268,510.000,84.400,0.389,482.829
22.0147328426,912,299,1.022,85.600,14.000,0.087,115.238
22.7186572593,914,299,1.609,117.100,0.000,0.111,133.283
23.7627985185,916,299,2.294,186.300,10.900,0.158,200.441
24.0784255741,917,299,2.844,331.600,70.300,0.296,372.327
24.0952149259,918,299,2.969,301.400,66.800,0.267,326.165
29.7418867963,920,299,6.371,320.500,48.100,0.510,602.420
31.71016975,924,299,2.008,114.500,0.000,0.165,189.950
36.7108604167,953,299,1.989,125.800,0.000,0.140,156.402
38.6352205833,957,299,10.047,489.400,24.600,0.686,730.152
39.0027040185,960,299,3.249,348.700,83.200,0.298,351.765
40.6710968333,964,299,4.335,245.400,35.200,0.360,399.929
43.623699537,967,299,1.952,251.800,41.400,0.197,255.908
47.5072011852,975,299,4.610,569.900,103.500,0.481,605.460
60.6943562963,1018,299,7.955,665.800,49.500,0.601,740.062
61.6200336204,1023,299,5.206,540.000,71.900,0.402,493.762
61.7109976667,1024,299,0.738,193.800,70.300,0.121,151.520
61.9362901204,1027,299,1.013,169.300,78.800,0.111,131.857
62.04941,1029,299,6.214,580.500,77.200,0.553,648.748
63.6909153056,1038,299,1.316,144.300,61.400,0.138,168.927
68.5087602315,1052,299,3.695,346.500,92.400,0.454,576.914
69.6005638796,1060,299,18.077,1989.400,623.600,1.641,1893.760
69.6623573796,1061,299,8.189,409.500,39.100,0.583,683.961
71.6591115,1071,299,0.908,83.800,11.400,0.084,113.921
76.6243447222,1084,299,2.050,216.300,40.600,0.261,352.791
78.6429760463,1092,299,4.442,514.800,87.100,0.466,557.865
79.5068728704,1096,299,4.639,521.700,96.600,0.533,678.558
83.8758242222,1107,299,2.554,190.000,48.900,0.170,208.005
83.9206618519,1108,299,4.450,261.000,0.000,0.262,312.805
84.5843946204,1110,299,7.435,1009.900,300.600,0.856,1071.948
85.6741931019,1112,299,2.401,152.500,0.000,0.180,189.516
86.9493641389,1119,299,11.184,1186.400,254.700,0.954,1142.668
89.7032231759,1127,299,13.788,583.800,90.400,1.004,1074.395
90.9534237222,1134,299,1.803,231.400,59.800,0.189,249.342
92.5931699722,1140,299,2.286,279.600,39.300,0.201,241.012
93.0592694907,1143,299,2.167,900.800,673.000,0.407,414.444
97.635387,1160,299,8.187,1278.800,629.700,0.832,904.337
98.6712373611,1162,299,7.552,557.600,73.500,0.665,777.051
101.929242009,1169,299,3.026,254.000,0.000,0.251,271.496
104.77555987,1178,299,3.921,389.300,29.400,0.349,411.495
106.66117988,1184,299,1.026,78.800,0.000,0.082,99.439
108.872157463,1188,299,3.675,580.200,185.300,0.377,443.464
111.745913065,1197,299,2.564,154.500,0.000,0.148,179.843
113.023502333,1202,299,2.409,204.200,10.200,0.207,245.529
117.888415472,1214,299,2.386,205.500,41.800,0.196,225.745
118.665387269,1216,299,3.575,386.600,122.900,0.328,345.783
120.669777444,1233,299,2.716,241.700,45.400,0.200,236.439
