DayNum,Trip,VehId,Total Distance(km),Total Time(secs),Total Idling Time(secs), Total Fuel Consumed(L),Total CO2 Emissions(g)
5.51271077778,206,564,7.059,1216.200,382.700,0.434,494.165
7.74145616667,213,564,6.890,1292.900,511.400,0.365,423.984
7.88446942592,214,564,7.068,779.000,221.900,0.310,334.516
8.51304151852,215,564,7.059,1306.400,399.000,0.433,496.988
9.51245177777,218,564,6.124,651.000,192.300,0.295,308.491
9.94111447222,220,564,6.810,1111.900,177.100,0.367,437.560
11.509069,224,564,7.060,1080.700,389.700,0.477,580.954
11.93785525,225,564,9.028,1174.600,286.000,0.567,715.613
12.5148241481,226,564,7.856,1113.300,347.400,0.604,745.378
15.5107291111,237,564,7.151,1299.400,442.900,0.541,700.037
17.0736482963,242,564,6.174,537.100,76.400,0.377,467.295
17.511240537,243,564,6.633,618.500,122.100,0.290,354.151
18.5080308056,246,564,7.339,1031.400,284.900,0.472,629.244
18.9389833333,247,564,8.704,1095.100,238.600,0.521,626.080
19.9430379537,249,564,7.232,820.100,109.900,0.394,477.862
21.5179629074,256,564,6.299,431.300,41.100,0.285,307.745
21.6875251481,257,564,6.164,462.400,56.300,0.356,442.674
21.768264787,258,564,6.602,642.200,132.400,0.290,344.695
22.9456109445,263,564,6.406,630.000,115.200,0.256,319.228
23.5118059445,264,564,7.319,1389.900,457.500,0.497,599.072
24.5124330741,266,564,7.192,898.800,236.500,0.434,529.533
24.836570713,267,564,9.761,1188.300,320.300,0.578,740.845
25.5819495185,270,564,6.265,539.800,99.000,0.341,418.116
25.7014158796,271,564,3.368,212.900,0.000,0.143,147.697
28.5203657778,282,564,6.654,555.500,74.200,0.337,415.500
28.6869649815,283,564,5.585,580.000,140.100,0.267,325.001
29.5129632778,285,564,7.140,905.400,250.500,0.484,585.027
30.9370006574,289,564,7.075,1608.900,480.000,0.418,480.139
31.9257415463,291,564,4.520,624.100,212.500,0.255,313.243
32.9413873426,294,564,6.385,1157.000,382.300,0.365,441.399
33.5076929907,295,564,7.171,953.500,280.400,0.487,628.559
35.518064463,302,564,6.798,532.200,70.300,0.342,398.901
36.5096922037,304,564,8.767,987.400,142.200,0.461,547.304
37.5106782037,308,564,7.001,2027.300,740.100,0.562,690.853
38.5185073704,310,564,6.159,665.100,144.800,0.323,414.342
39.0998627315,314,564,5.944,552.400,117.500,0.351,410.813
39.5100094259,315,564,7.578,1018.900,261.300,0.523,669.576
39.9422547222,317,564,8.567,1581.300,361.600,0.706,785.434
41.6041714074,325,564,11.935,1331.700,232.800,0.602,712.207
43.5094846389,332,564,7.645,828.700,114.800,0.448,519.258
44.5131965556,336,564,8.569,1820.200,648.400,0.778,899.906
45.510874537,338,564,8.087,978.100,164.400,0.540,628.137
46.5132244259,341,564,8.780,1217.800,256.500,0.612,750.682
47.5095305926,343,564,8.827,1085.600,159.900,0.592,669.580
49.5181526111,345,564,6.095,544.800,124.000,0.277,319.240
50.5086931944,348,564,8.154,1092.200,328.200,0.487,619.214
52.5121995185,355,564,8.951,1296.300,320.400,0.639,770.865
53.5098541667,357,564,8.819,1122.300,281.600,0.506,643.439
53.9284955,358,564,8.792,1087.700,269.100,0.572,724.056
54.8431031018,360,564,5.900,1065.700,477.900,0.449,540.006
55.7159752315,361,564,6.595,516.800,8.500,0.361,426.053
56.5180597963,363,564,6.833,598.700,101.400,0.394,446.456
56.9711573889,365,564,6.802,916.700,145.000,0.458,517.918
57.6457360185,367,564,8.063,804.700,152.400,0.448,504.945
57.6658398333,368,564,7.295,591.800,89.200,0.373,441.552
64.5377961852,381,564,7.892,1014.900,434.100,0.616,706.954
65.4705941759,383,564,8.515,973.700,260.200,0.652,818.550
67.0601943704,388,564,5.875,566.900,76.200,0.385,441.367
68.4690471204,391,564,8.506,954.800,151.700,0.633,766.082
70.6647457593,403,564,13.988,988.800,0.000,0.936,307.063
72.4702846852,410,564,8.059,1507.000,516.800,0.661,783.856
73.0394768148,412,564,3.129,226.900,16.700,0.160,178.167
73.4702730926,413,564,8.042,1036.900,264.500,0.538,615.880
75.4628924722,422,564,8.013,887.900,60.200,0.476,554.442
76.7236435,427,564,11.861,1172.300,168.400,0.519,616.861
77.4764585741,430,564,6.610,662.800,197.300,0.438,490.927
79.4710718519,436,564,8.147,1271.000,337.400,0.693,851.225
79.8996491389,437,564,7.220,966.500,261.600,0.538,626.357
80.4708521667,438,564,6.156,638.200,159.200,0.411,473.083
81.0655277963,439,564,5.965,622.600,184.500,0.403,449.171
81.4724117778,440,564,8.168,1131.700,283.000,0.636,759.484
82.484972,442,564,6.249,964.300,315.200,0.457,566.022
82.8499591018,443,564,4.668,543.700,181.500,0.314,360.633
85.4669314352,448,564,9.008,1142.100,284.700,0.493,606.352
86.4634851389,452,564,8.645,1172.800,318.700,0.547,687.112
87.4730718333,454,564,6.212,730.000,195.000,0.371,475.248
88.0767685556,455,564,6.005,463.700,63.700,0.349,412.670
88.4676098796,456,564,8.753,1020.500,177.800,0.532,611.350
88.9043624537,457,564,6.844,801.800,174.000,0.462,605.825
90.6385834259,461,564,1.245,229.400,126.600,0.057,70.605
91.8062010926,472,564,11.710,1020.000,147.900,0.523,634.288
91.8332405,473,564,11.716,1101.800,166.100,0.418,517.367
92.4654406019,474,564,7.991,836.900,85.600,0.497,593.799
95.462966287,480,564,9.003,1070.900,174.000,0.554,652.469
95.8984972593,481,564,5.228,742.000,248.300,0.375,465.590
96.4659839259,485,564,8.565,959.800,147.700,0.628,737.258
97.7803057963,491,564,5.422,369.700,4.700,0.316,376.635
98.6498887222,493,564,2.967,202.500,0.000,0.143,169.652
98.6989806759,494,564,7.013,626.200,108.900,0.303,356.775
98.8329164815,495,564,5.461,429.800,32.400,0.292,349.876
100.468356037,499,564,8.294,1355.400,442.800,0.702,835.949
101.467613926,501,564,8.097,1181.900,192.100,0.580,677.199
102.468344833,503,564,8.072,1140.900,279.000,0.602,703.025
103.476062778,506,564,6.285,653.500,101.800,0.376,405.054
103.807452824,507,564,6.030,918.800,185.700,0.475,513.211
106.470223843,511,564,8.059,1134.900,228.200,0.596,674.550
107.473579,514,564,6.258,841.300,232.200,0.439,515.145
109.465086398,522,564,9.128,1123.700,297.600,0.506,613.133
114.468069074,533,564,8.803,1234.100,331.900,0.452,561.513
117.465646528,538,564,8.790,1003.800,183.500,0.489,559.593
119.64050562,547,564,5.443,374.700,29.100,0.251,284.005
120.467402574,548,564,8.559,971.800,154.200,0.515,613.161
121.895197491,553,564,7.007,1127.900,322.000,0.364,472.337
123.46822963,556,564,8.174,1152.900,354.800,0.492,598.167
126.478643981,569,564,6.816,547.200,77.600,0.361,403.148
126.934043519,572,564,5.205,474.100,121.200,0.264,321.941
127.467615537,573,564,8.804,1133.700,293.900,0.611,748.368
128.467065019,576,564,8.788,1143.800,342.300,0.611,746.306
130.908896148,582,564,6.146,644.400,161.700,0.411,467.565
131.470016611,584,564,8.639,1053.000,219.800,0.618,739.533
137.46592925,593,564,9.117,1140.800,303.600,0.561,656.052
137.900645741,594,564,6.852,851.000,230.600,0.478,574.746
140.729869213,600,564,5.457,402.600,46.500,0.262,327.310
142.466922454,604,564,8.278,992.700,213.800,0.555,683.265
142.905032148,605,564,6.387,658.600,98.200,0.387,471.903
143.485008583,607,564,6.285,748.900,207.000,0.357,447.386
144.898413213,609,564,6.963,1310.300,331.100,0.394,510.646
145.46804387,610,564,8.477,950.200,154.600,0.548,670.463
146.584573759,613,564,1.111,129.700,35.400,0.038,46.351
146.824881852,617,564,5.057,739.800,148.800,0.182,216.424
149.021377537,624,564,6.254,644.800,186.500,0.356,425.063
149.464221833,627,564,8.775,1032.100,241.700,0.535,638.749
149.90165763,628,564,8.438,876.300,157.200,0.506,591.882
150.898469648,630,564,7.783,738.200,173.700,0.409,509.428
