DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%]
15.4716474167,223,643,0,42.2281619444,-83.7787083333,61,NaN,1464,75.6862792969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5625,NaN,0.78125,NaN
15.4716474167,223,643,800,42.2281619444,-83.7787083333,62,NaN,1494,75.6862792969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5625,NaN,0.78125,NaN
15.4716474167,223,643,2900,42.2286505556,-83.778735,62,NaN,1494,75.6862792969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5625,NaN,0.78125,NaN
15.4716474167,223,643,3200,42.2286505556,-83.778735,63,NaN,1512,75.6862792969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5625,NaN,0.78125,NaN
15.4716474167,223,643,4400,42.2286505556,-83.778735,65,NaN,1512,75.6862792969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5625,NaN,0.78125,NaN
15.4716474167,223,643,5000,42.2286505556,-83.778735,65,NaN,1512,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,5100,42.2286505556,-83.778735,65,NaN,1550,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,5700,42.2286505556,-83.778735,64,NaN,1550,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,7000,42.2293130556,-83.7787794444,64,NaN,1550,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,7700,42.2293130556,-83.7787794444,64,NaN,1274,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,8300,42.2293130556,-83.7787794444,65,NaN,1274,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,9500,42.2293130556,-83.7787794444,67,NaN,1274,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,9900,42.2298022222,-83.7787969444,67,NaN,1274,31.372549057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.78125,NaN,0.78125,NaN
15.4716474167,223,643,10000,42.2298022222,-83.7787969444,67,NaN,1245,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,10700,42.2298022222,-83.7787969444,66,NaN,1245,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,11900,42.2298022222,-83.7787969444,68,NaN,1245,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,12400,42.2298022222,-83.7787969444,68,NaN,1261,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,12900,42.2303011111,-83.7788175,68,NaN,1261,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,13100,42.2303011111,-83.7788175,67,NaN,1261,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,14800,42.2303011111,-83.7788175,67,NaN,1275,65.8823547363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.78125,NaN,0.78125,NaN
15.4716474167,223,643,15400,42.2303011111,-83.7788175,67,NaN,1275,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,16000,42.2308013889,-83.7788358333,67,NaN,1275,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,17200,42.2308013889,-83.7788358333,67,NaN,1286,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,19000,42.2313030556,-83.7788519444,68,NaN,1286,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,19600,42.2313030556,-83.7788519444,68,NaN,1273,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,20200,42.2313030556,-83.7788519444,65,NaN,1273,97.2549057007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.90625,NaN,0.78125,NaN
15.4716474167,223,643,20800,42.2313030556,-83.7788519444,65,NaN,1273,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,21400,42.2313030556,-83.7788519444,63,NaN,1273,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,22000,42.2313030556,-83.7788519444,63,NaN,1204,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,23000,42.2319408333,-83.7788727778,63,NaN,1204,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,23300,42.2319408333,-83.7788727778,61,NaN,1204,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,23900,42.2319408333,-83.7788727778,61,NaN,1325,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,24500,42.2319408333,-83.7788727778,57,NaN,1325,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,25900,42.2323633333,-83.7788802778,57,NaN,1325,43.9215698242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,26300,42.2323633333,-83.7788802778,57,NaN,1165,15.6862745285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,26800,42.2323633333,-83.7788802778,48,NaN,1165,15.6862745285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,28000,42.2323633333,-83.7788802778,44,NaN,1165,15.6862745285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,28700,42.2323633333,-83.7788802778,44,NaN,1279,15.6862745285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
15.4716474167,223,643,28900,42.2326930556,-83.7788802778,44,NaN,1279,15.6862745285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.78125,NaN
